person_1,person_2,shared_interests,shared_objectives
Michael Fisher,Randall Hunter,Startups,"Collaborate on a machine learning research project, Network with product managers in blockchain"
Michael Fisher,Jack Rodriguez,Finance,
Michael Fisher,Barbara Anderson,Startups,Find investors for a blockchain startup
Ethan Yates,Adam Moore,Finance,
Ethan Yates,Christie Johnson,Finance,
Ethan Yates,Aaron Green,AI,Find investors for a blockchain startup
Ethan Yates,James Huffman DVM,Finance,
Ethan Yates,Lauren Jones,Finance,
Ethan Yates,David Lowe,Finance,
Ethan Yates,Jacqueline Mayer,,Find investors for a blockchain startup
Ethan Yates,Andrew Morrison,Finance,
Ethan Yates,Jennifer Wilson,"Finance, AI",
Ethan Yates,James Brown,AI,
Ethan Yates,Ann Kline,AI,
Ethan Yates,Jeremiah Thomas,AI,
Ethan Yates,Randall Hunter,AI,
Ethan Yates,Jack Rodriguez,Finance,
Ethan Yates,Barbara Anderson,,Find investors for a blockchain startup
Adam Moore,Christie Johnson,Finance,
Adam Moore,James Huffman DVM,Finance,
Adam Moore,Frank Yoder,,Network with product managers in blockchain
Adam Moore,Lauren Jones,Finance,Discuss AI ethics and regulations
Adam Moore,David Lowe,Finance,
Adam Moore,Jacqueline Mayer,Blockchain,Network with product managers in blockchain
Adam Moore,Andrew Morrison,Finance,
Adam Moore,Jennifer Wilson,Finance,
Adam Moore,Ann Kline,Blockchain,
Adam Moore,Randall Hunter,,Network with product managers in blockchain
Adam Moore,Jack Rodriguez,"Finance, Blockchain",
Adam Moore,Barbara Anderson,Blockchain,Discuss AI ethics and regulations
Joel Ellis,Johnny Valentine,Healthcare,Collaborate on a machine learning research project
Joel Ellis,Christie Johnson,Healthcare,
Joel Ellis,Aaron Green,Startups,
Joel Ellis,James Huffman DVM,Healthcare,
Joel Ellis,Frank Yoder,Startups,
Joel Ellis,Lauren Jones,,Collaborate on a machine learning research project
Joel Ellis,Jacqueline Mayer,Healthcare,
Joel Ellis,Andrew Hoover,"Startups, Healthcare",
Joel Ellis,Andrew Morrison,Healthcare,Collaborate on a machine learning research project
Joel Ellis,Jennifer Wilson,,Collaborate on a machine learning research project
Joel Ellis,James Brown,Startups,
Joel Ellis,Randall Hunter,Startups,Collaborate on a machine learning research project
Joel Ellis,Barbara Anderson,Startups,
Johnny Valentine,Christie Johnson,Healthcare,
Johnny Valentine,Aaron Green,,Identify customers for a cybersecurity product
Johnny Valentine,James Huffman DVM,Healthcare,
Johnny Valentine,Frank Yoder,Cybersecurity,
Johnny Valentine,Lauren Jones,Cybersecurity,Collaborate on a machine learning research project
Johnny Valentine,David Lowe,Cybersecurity,
Johnny Valentine,Jacqueline Mayer,Healthcare,
Johnny Valentine,Andrew Hoover,Healthcare,
Johnny Valentine,Andrew Morrison,Healthcare,"Collaborate on a machine learning research project, Explore AI + Healthcare applications"
Johnny Valentine,Jennifer Wilson,,Collaborate on a machine learning research project
Johnny Valentine,James Brown,,Explore AI + Healthcare applications
Johnny Valentine,Ann Kline,,Identify customers for a cybersecurity product
Johnny Valentine,Jeremiah Thomas,Cybersecurity,
Johnny Valentine,Randall Hunter,,Collaborate on a machine learning research project
Christie Johnson,James Huffman DVM,"Finance, Healthcare",
Christie Johnson,Lauren Jones,Finance,
Christie Johnson,David Lowe,Finance,
Christie Johnson,Jacqueline Mayer,Healthcare,
Christie Johnson,Andrew Hoover,Healthcare,
Christie Johnson,Andrew Morrison,"Finance, Healthcare",
Christie Johnson,Jennifer Wilson,Finance,
Christie Johnson,Jack Rodriguez,Finance,
Aaron Green,Frank Yoder,Startups,
Aaron Green,David Lowe,,Find a co-founder for a fintech idea
Aaron Green,Jacqueline Mayer,,Find investors for a blockchain startup
Aaron Green,Andrew Hoover,Startups,
Aaron Green,Jennifer Wilson,AI,
Aaron Green,James Brown,"Startups, AI",
Aaron Green,Ann Kline,AI,Identify customers for a cybersecurity product
Aaron Green,Jeremiah Thomas,AI,
Aaron Green,Randall Hunter,"Startups, AI",
Aaron Green,Jack Rodriguez,,Find a co-founder for a fintech idea
Aaron Green,Barbara Anderson,Startups,Find investors for a blockchain startup
James Huffman DVM,Lauren Jones,Finance,
James Huffman DVM,David Lowe,Finance,
James Huffman DVM,Jacqueline Mayer,Healthcare,
James Huffman DVM,Andrew Hoover,Healthcare,Meet professionals interested in startup accelerators
James Huffman DVM,Andrew Morrison,"Finance, Healthcare",
James Huffman DVM,Jennifer Wilson,Finance,
James Huffman DVM,James Brown,,Meet professionals interested in startup accelerators
James Huffman DVM,Jeremiah Thomas,,Meet professionals interested in startup accelerators
James Huffman DVM,Jack Rodriguez,Finance,
Frank Yoder,Lauren Jones,Cybersecurity,
Frank Yoder,David Lowe,Cybersecurity,
Frank Yoder,Jacqueline Mayer,,Network with product managers in blockchain
Frank Yoder,Andrew Hoover,Startups,
Frank Yoder,James Brown,Startups,
Frank Yoder,Jeremiah Thomas,Cybersecurity,
Frank Yoder,Randall Hunter,Startups,Network with product managers in blockchain
Frank Yoder,Barbara Anderson,Startups,
Lauren Jones,David Lowe,"Finance, Cybersecurity",
Lauren Jones,Andrew Morrison,Finance,Collaborate on a machine learning research project
Lauren Jones,Jennifer Wilson,Finance,Collaborate on a machine learning research project
Lauren Jones,Jeremiah Thomas,Cybersecurity,
Lauren Jones,Randall Hunter,,Collaborate on a machine learning research project
Lauren Jones,Jack Rodriguez,Finance,
Lauren Jones,Barbara Anderson,,Discuss AI ethics and regulations
David Lowe,Andrew Morrison,Finance,
David Lowe,Jennifer Wilson,Finance,
David Lowe,Jeremiah Thomas,Cybersecurity,
David Lowe,Jack Rodriguez,Finance,Find a co-founder for a fintech idea
Jacqueline Mayer,Andrew Hoover,Healthcare,
Jacqueline Mayer,Andrew Morrison,Healthcare,
Jacqueline Mayer,Ann Kline,Blockchain,
Jacqueline Mayer,Randall Hunter,,Network with product managers in blockchain
Jacqueline Mayer,Jack Rodriguez,Blockchain,
Jacqueline Mayer,Barbara Anderson,Blockchain,Find investors for a blockchain startup
Andrew Hoover,Andrew Morrison,Healthcare,
Andrew Hoover,James Brown,Startups,Meet professionals interested in startup accelerators
Andrew Hoover,Jeremiah Thomas,,Meet professionals interested in startup accelerators
Andrew Hoover,Randall Hunter,Startups,
Andrew Hoover,Barbara Anderson,Startups,
Andrew Morrison,Jennifer Wilson,Finance,Collaborate on a machine learning research project
Andrew Morrison,James Brown,,Explore AI + Healthcare applications
Andrew Morrison,Randall Hunter,,"Collaborate on a machine learning research project, Explore partnership opportunities in AI"
Andrew Morrison,Jack Rodriguez,Finance,
Jennifer Wilson,James Brown,AI,
Jennifer Wilson,Ann Kline,AI,
Jennifer Wilson,Jeremiah Thomas,AI,
Jennifer Wilson,Randall Hunter,AI,Collaborate on a machine learning research project
Jennifer Wilson,Jack Rodriguez,Finance,
James Brown,Ann Kline,AI,
James Brown,Jeremiah Thomas,AI,Meet professionals interested in startup accelerators
James Brown,Randall Hunter,"Startups, AI",
James Brown,Barbara Anderson,Startups,
Ann Kline,Jeremiah Thomas,AI,
Ann Kline,Randall Hunter,AI,
Ann Kline,Jack Rodriguez,Blockchain,Find beta testers for a new finance app
Ann Kline,Barbara Anderson,Blockchain,
Jeremiah Thomas,Randall Hunter,AI,
Randall Hunter,Barbara Anderson,Startups,
Jack Rodriguez,Barbara Anderson,Blockchain,
